2025-07-28T18:17:41.673+0000 INFO  [main] [c.e.p.PayrollApplication logStarting:55] [] [] Starting PayrollApplication v11.0.3 using Java 11.0.27 on COMP-CT6C0YHPKF with PID 86651 (/Users/lloyd.williams/u01/GitHub/lloydwilliams/java-apm/payroll/payroll-11.0.3.jar started by lloyd.williams in /Users/lloyd.williams/u01/GitHub/lloydwilliams/java-apm/payroll)
2025-07-28T18:17:41.674+0000 INFO  [main] [c.e.p.PayrollApplication logStartupProfileInfo:659] [] [] No active profile set, falling back to default profiles: default
2025-07-28T18:17:42.136+0000 INFO  [main] [o.s.d.r.c.RepositoryConfigurationDelegate registerRepositoriesIn:132] [] [] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-28T18:17:42.159+0000 INFO  [main] [o.s.d.r.c.RepositoryConfigurationDelegate registerRepositoriesIn:201] [] [] Finished Spring Data repository scanning in 19 ms. Found 1 JPA repository interfaces.
2025-07-28T18:17:42.492+0000 INFO  [main] [o.s.b.w.e.t.TomcatWebServer initialize:108] [] [] Tomcat initialized with port(s): 8080 (http)
2025-07-28T18:17:42.558+0000 INFO  [main] [o.s.b.w.s.c.ServletWebServerApplicationContext prepareWebApplicationContext:290] [] [] Root WebApplicationContext: initialization completed in 861 ms
2025-07-28T18:17:42.713+0000 INFO  [main] [c.z.h.HikariDataSource getConnection:110] [] [] HikariPoolPayroll - Starting...
2025-07-28T18:17:42.835+0000 INFO  [main] [c.z.h.HikariDataSource getConnection:123] [] [] HikariPoolPayroll - Start completed.
2025-07-28T18:17:42.871+0000 INFO  [main] [o.h.j.i.u.LogHelper logPersistenceUnitInformation:31] [] [] HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-28T18:17:42.907+0000 INFO  [main] [o.h.Version logVersion:44] [] [] HHH000412: Hibernate ORM core version 5.4.32.Final
2025-07-28T18:17:42.977+0000 INFO  [main] [o.h.a.c.Version <clinit>:56] [] [] HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-07-28T18:17:43.038+0000 INFO  [main] [o.h.d.Dialect <init>:175] [] [] HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2025-07-28T18:17:43.324+0000 INFO  [main] [o.h.e.t.j.p.i.JtaPlatformInitiator initiateService:52] [] [] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-07-28T18:17:43.328+0000 INFO  [main] [o.s.o.j.LocalContainerEntityManagerFactoryBean buildNativeEntityManagerFactory:437] [] [] Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-28T18:17:43.538+0000 WARN  [main] [o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration openEntityManagerInViewInterceptor:219] [] [] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-28T18:17:43.777+0000 INFO  [main] [o.s.b.a.e.w.EndpointLinksResolver <init>:58] [] [] Exposing 3 endpoint(s) beneath base path '/actuator'
2025-07-28T18:17:43.828+0000 INFO  [main] [o.s.b.w.e.t.TomcatWebServer start:220] [] [] Tomcat started on port(s): 8080 (http) with context path ''
2025-07-28T18:17:43.835+0000 INFO  [main] [c.e.p.PayrollApplication logStarted:61] [] [] Started PayrollApplication in 2.643 seconds (JVM running for 3.379)
2025-07-28T18:17:43.909+0000 INFO  [main] [c.e.p.LoadDatabase lambda$initDatabase$0:18] [] [] Preloading Employee{id=1, name='Bilbo Baggins', role='burglar'}
2025-07-28T18:17:43.910+0000 INFO  [main] [c.e.p.LoadDatabase lambda$initDatabase$0:19] [] [] Preloading Employee{id=2, name='Frodo Baggins', role='thief'}
2025-07-28T18:17:50.582+0000 INFO  [http-nio-8080-exec-1] [o.s.w.s.DispatcherServlet initServletBean:525] [6887bece0000000077207b62657b6af8] [1565085152280810650] Initializing Servlet 'dispatcherServlet'
2025-07-28T18:17:50.583+0000 INFO  [http-nio-8080-exec-1] [o.s.w.s.DispatcherServlet initServletBean:547] [6887bece0000000077207b62657b6af8] [1565085152280810650] Completed initialization in 0 ms
2025-07-28T18:17:50.634+0000 INFO  [http-nio-8080-exec-1] [c.e.p.PayrollApplication newEmployee:78] [6887bece0000000077207b62657b6af8] [4249999128371424123] Adding new employee: Samwise Gamgee
2025-07-28T18:17:50.660+0000 INFO  [http-nio-8080-exec-2] [c.e.p.PayrollApplication newEmployee:78] [6887bece0000000053bc31de0fe3179a] [421593492676082666] Adding new employee: Samwise Gamgee
